term,coef,se,z,p,IRR,IRR_lo95,IRR_hi95,family,sample,outcome,n
RACEAIAN_NHPI,0.2804908081239264,0.39418898342157943,0.7115643001720967,0.476734620359188,1.3237793745905173,0.6113292468596552,2.866527066377315,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
RACEOther_2plus,0.5385893474958916,0.18988651860157027,2.8363748593758134,0.004562885586795218,1.713587879380861,1.1810593276334105,2.4862285506392627,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
REGSTATUSRent_stabilized,0.409354065500205,0.07561560564075197,5.413618816267066,6.176357749742305e-8,1.5058447937987036,1.2984191401490253,1.7464072061895215,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
REGSTATUSRent_controlled,0.28292563926460057,0.1954869354707008,1.4472866873858428,0.1478166460920738,1.3270064809704076,0.9046304562964026,1.946591769358349,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
REGSTATUSOther_regulated,0.3218695462244563,0.17529473195532025,1.8361621175614995,0.06633368352340646,1.3797047765194659,0.9785257972577216,1.9453603325383442,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
OLDER_ADULT,0.13108681230130628,0.062338381019016384,2.1028267041667013,0.035480920793536944,1.140066748834238,1.008943340320657,1.28823110263495,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
SINGLE,0.043750543486689844,0.06575646059989548,0.6653421289338585,0.5058316904566393,1.0447217097448886,0.9183909392276033,1.18843011640579,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
CHILDREN,0.20922848677765177,0.07121424056133985,2.938014716276226,0.0033032134363327054,1.232726628089692,1.0721313415834273,1.4173775923359053,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
YEARBUILT_ORD,-0.0472528456754128,0.014409982857597923,-3.279174315637571,0.001041113049975161,0.9538461912132042,0.9272830575488847,0.9811702576523916,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
UNITS_BIN,0.0483950644692316,0.01354121160375175,3.5739094761522807,3.516905599998595e-4,1.049585227258478,1.0220948438997328,1.0778149952073337,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
ROOMS_RAW,0.01328557905745484,0.02140954049205132,0.6205448016218448,0.5348991676143717,1.0133742244965542,0.9717301657576232,1.0568029634783789,NB via withReplicates (theta=2.576),Unsubsidized,UNSAFE_COND,1973
(Intercept),-0.48158477399997107,0.11756468600140493,-4.096338708327907,4.197356879872724e-5,0.6178035366047923,0.4906562203857645,0.7778994619517977,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
RACEBlack,0.3738162560228837,0.0677717819169322,5.5158097581242576,3.471776590634829e-8,1.4532700962954894,1.2725001196444714,1.6597200583185636,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
RACEHispanic,0.25264014537811125,0.05851394380675993,4.3176058378913185,1.577307807571116e-5,1.2874199094624539,1.147921384919076,1.4438706735977016,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
RACEAsian,-0.07470027816063624,0.08590696113214145,-0.8695486043992735,0.38454713531128143,0.9280215929879708,0.7842104041635549,1.098205369986795,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
RACEAIAN_NHPI,0.33754589775019095,0.2674802170578177,1.2619471505708701,0.20696780401608306,1.4015039327931882,0.8296798896671087,2.3674350771872654,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
RACEOther_2plus,0.5914521645678262,0.15661285307069298,3.776523784423061,1.5903237966176907e-4,1.8066100064856143,1.32908531499361,2.4557036923921194,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
SUBSIDYVoucher,-0.06016203292816182,0.06273396887686969,-0.9590024990487067,0.33755748623901594,0.9416119490814239,0.8326677200222221,1.064810177376944,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
SUBSIDYOther_subsidy,0.31812869961122514,0.06037710343833292,5.269028845283225,1.3714741394363355e-7,1.374553154300849,1.2211457738100366,1.547232455387698,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
REGSTATUSRent_stabilized,0.3747233327925549,0.06241649444441749,6.0035946608031585,1.9299615986346746e-9,1.4545889218874997,1.287094051048233,1.6438805928398694,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
REGSTATUSRent_controlled,0.3262937594432628,0.1400167514350799,2.3303908717990214,0.019785501787421347,1.3858224075030259,1.05322925618592,1.8234432188982685,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
REGSTATUSOther_regulated,0.16804614527202927,0.12259519142300825,1.3707401026211126,0.17045598876719867,1.1829911988389863,0.9303071952383304,1.5043075918293634,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
REGSTATUSPublic_NYCHA,0.6399235356234763,0.07187403921868446,8.903402989171658,5.416010811569837e-19,1.8963358716209577,1.6471564189974994,2.183210833240165,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
OLDER_ADULT,0.06569029799326313,0.04724243694845774,1.3904934257505028,0.1643790942792277,1.0678959364324094,0.9734538335816608,1.1715005804157501,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
SINGLE,0.02641318383190683,0.051039766526322056,0.5175020504508991,0.6048057379450897,1.026765103580357,0.9290202353347808,1.134793988152986,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
CHILDREN,0.17639482479032723,0.050728202087763845,3.477253628763544,5.065783721949721e-4,1.1929089557119539,1.0800070281900245,1.31761344090754,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
YEARBUILT_ORD,-0.048779462499611535,0.010399536586384728,-4.690541938520082,2.724823692635838e-6,0.9523911445019844,0.9331749762284364,0.9720030168316031,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
UNITS_BIN,0.049383892634637716,0.012409416468254284,3.9795499458795165,6.904585363772722e-5,1.050623599994681,1.0253781140850942,1.076490646429167,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
ROOMS_RAW,0.04243865588184262,0.015258006276040688,2.7814024397462145,0.005412459588040618,1.0433520508990284,1.0126118303023797,1.07502546340007,NB via withReplicates (theta=3.183),All,UNSAFE_COND,3098
