puma,total_seats,total_vacancy,tot_births_22,pre_sch_age,population,white_nh,black_nh,hispanic,asian_api_nh,other_multiracial_nh,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_api_nh,pct_other_multiracial_nh,households,mean_household_income,median_household_income,seats_per_child_children,vacancy_rate,median_inc_10k,pct_hispanic10,pct_black10,pct_asian10,seats_per_child
4301,2297,713,3349,6698,207774,123995,14104,44251,14589,10835,0.596778230192421,0.0678814481118908,0.212976599574538,0.0702157151520402,0.0521480069691107,85667,143711.464811421,96000,0.342938190504628,0.31040487592512,9.6,2.12976599574538,0.678814481118908,0.702157151520402,0.342938190504628
4302,1792,423,1542,3084,128183,62317,23217,17690,14887,10072,0.486156510613732,0.181123861978578,0.138005819804498,0.116138645530219,0.0785751620729738,61223,197551.969096581,130000,0.5810635538262,0.236049107142857,13,1.38005819804498,1.81123861978578,1.16138645530219,0.5810635538262
4303,2274,803,2134,4268,182770,52219,75134,34027,7921,13469,0.285708814356842,0.411084970181102,0.186173879739563,0.0433386223121957,0.0736937134102971,71580,108953.646130204,73000,0.532802249297095,0.353122251539138,7.3,1.86173879739563,4.11084970181102,0.433386223121957,0.532802249297095
4304,2393,802,976,1952,112526,28940,18702,52106,6732,6046,0.257185006131916,0.166201588966106,0.463057426728045,0.0598261735065674,0.0537298046673658,45492,100311.371010288,78800,1.22592213114754,0.335144170497284,7.88,4.63057426728045,1.66201588966106,0.598261735065674,1.22592213114754
4305,3591,1204,2057,4114,198985,6540,94034,70738,14111,13562,0.0328667990049501,0.472568284041511,0.355494132723572,0.0709148930823931,0.0681558911475739,71948,67135.0377494857,50000,0.872873116188624,0.335282651072125,5,3.55494132723572,4.72568284041511,0.709148930823931,0.872873116188624
4306,1699,392,1338,2676,120197,73482,10489,18253,9422,8551,0.611346373037597,0.0872650731715434,0.151859031423413,0.0783879797332712,0.0711415426341756,52116,221720.082930386,154000,0.634902840059791,0.230723955267805,15.4,1.51859031423413,0.872650731715434,0.783879797332712,0.634902840059791
4307,2978,711,1355,2710,120291,33927,3321,49639,28466,4938,0.282041050452652,0.0276080504775918,0.412657638559826,0.236642807857612,0.0410504526523181,41131,119514.483479614,79500,1.09889298892989,0.23875083948959,7.95,4.12657638559826,0.276080504775918,2.36642807857612,1.09889298892989
4308,1955,678,1011,2022,109891,32044,48989,14206,5514,9138,0.291598038055892,0.445796289050059,0.129273552884222,0.0501769935663521,0.0831551264434758,48512,120815.029889512,80000,0.966864490603363,0.346803069053708,8,1.29273552884222,4.45796289050059,0.501769935663521,0.966864490603363
4309,1477,359,1196,2392,98449,28347,50957,9108,2523,7514,0.28793588558543,0.517597944113196,0.0925149061950858,0.0256274822496927,0.0763237818565958,40483,100250.678704641,68900,0.61747491638796,0.243060257278267,6.89,0.925149061950858,5.17597944113196,0.256274822496927,0.61747491638796
4310,2043,351,1386,2772,124997,64377,2895,24114,28738,4873,0.515028360680656,0.0231605558533405,0.19291662999912,0.229909517828428,0.0389849356384553,49215,114325.802296048,80000,0.737012987012987,0.171806167400881,8,1.9291662999912,0.231605558533405,2.29909517828428,0.737012987012987
4311,2884,458,2200,4400,181237,66764,3137,32637,73694,5005,0.368379525152149,0.0173088276676396,0.180079122916402,0.40661675044279,0.0276157738210189,62329,85097.079224759,60000,0.655454545454545,0.15880721220527,6,1.80079122916402,0.173088276676396,4.0661675044279,0.655454545454545
4312,4199,934,4733,9466,196473,117768,6534,25762,36174,10235,0.599410606037471,0.033256477989342,0.131122342510167,0.184116901558993,0.0520936719040275,55094,93565.6389080481,60600,0.443587576589901,0.22243391283639,6.06,1.31122342510167,0.33256477989342,1.84116901558993,0.443587576589901
4313,2072,591,1047,2094,111213,59040,14718,17821,14522,5112,0.530873189285425,0.132340643629791,0.160242058032784,0.130578259735822,0.0459658493161771,46712,71959.1488268539,43000,0.989493791786055,0.28523166023166,4.3,1.60242058032784,1.32340643629791,1.30578259735822,0.989493791786055
4314,2611,482,2139,4278,154901,55243,46264,23094,19826,10474,0.356634237351599,0.298668181612772,0.149088772829097,0.127991426782267,0.0676173814242645,59494,106028.131240125,73100,0.610331930808789,0.184603600153198,7.31,1.49088772829097,2.98668181612772,1.27991426782267,0.610331930808789
4315,2906,562,2134,4268,152567,93750,7555,14814,28706,7742,0.614484128284623,0.0495192276180301,0.0970983240150229,0.188153401456409,0.0507449186259152,58658,89885.1975178151,63100,0.680880974695408,0.193392980041294,6.31,0.970983240150229,0.495192276180301,1.88153401456409,0.680880974695408
4316,1707,728,976,1952,101127,5373,64598,23228,2322,5606,0.0531312112492213,0.638780938819504,0.229691378168046,0.0229612269720253,0.0554352447912031,38991,58867.3386166038,39700,0.874487704918033,0.426479203280609,3.97,2.29691378168046,6.38780938819504,0.229612269720253,0.874487704918033
4317,2627,886,1395,2790,147949,7276,110398,11353,3161,15761,0.0491791090172965,0.746189565323186,0.0767359022365815,0.021365470533765,0.106529952889171,57110,83523.3069514971,64400,0.9415770609319,0.337266844309098,6.44,0.767359022365815,7.46189565323186,0.21365470533765,0.9415770609319
4318,2400,798,1836,3672,181058,37210,103119,15731,11164,13834,0.205514255100575,0.569535728882458,0.0868837610047609,0.0616597996222205,0.0764064553899855,63780,102709.518532455,79200,0.65359477124183,0.3325,7.92,0.868837610047609,5.69535728882458,0.616597996222205,0.65359477124183
