puma,population,white_nh,black_nh,hispanic,asian_nh,aian_nhpi,other_2plus,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nhpi,pct_other_2plus,pct_other_2plus_combined,households,mean_household_income,median_household_income
4314,154901,55243,46264,23094,19743,213,10344,0.356634237351599,0.298668181612772,0.149088772829097,0.127455600673979,0.00137507182006572,0.0667781357124873,0.0681532075325531,59494,106028.131240125,73100
4315,152567,93750,7555,14814,28639,278,7531,0.614484128284623,0.0495192276180301,0.0970983240150229,0.187714250132729,0.00182215026840667,0.0493619196811893,0.0511840699495959,58658,89885.1975178151,63100
4316,101127,5373,64598,23228,2299,278,5351,0.0531312112492213,0.638780938819504,0.229691378168046,0.0227337901846193,0.00274901856081956,0.0529136630177895,0.0556626815786091,38991,58867.3386166038,39700
4317,147949,7276,110398,11353,3139,120,15663,0.0491791090172965,0.746189565323186,0.0767359022365815,0.0212167706439381,0.000811090308146726,0.105867562470851,0.106678652778998,57110,83523.3069514971,64400
4318,181058,37210,103119,15731,11108,288,13602,0.205514255100575,0.569535728882458,0.0868837610047609,0.0613505064675408,0.0015906505097814,0.0751250980348839,0.0767157485446653,63780,102709.518532455,79200
4401,176768,82707,10715,46535,28070,480,8261,0.467884458725561,0.0606161748732802,0.26325466147719,0.158795709630702,0.00271542360608255,0.0467335716871832,0.0494489952932658,81731,107984.487599564,80000
4402,124442,36823,2955,37360,42719,213,4372,0.29590491956092,0.0237460021536137,0.30022018289645,0.343284421658283,0.00171164076437216,0.0351328329663618,0.036844473730734,55701,127492.485018222,85000
4403,161372,17785,10005,99565,28968,272,4777,0.110211189053863,0.0619996034008378,0.616990555982451,0.179510695783655,0.00168554643928315,0.0296024093399103,0.0312879557791934,53966,92527.9331430901,70000
4404,167268,8989,9245,87610,57409,359,3656,0.0537401056986393,0.0552705837338881,0.523770236984958,0.343215677834374,0.00214625630724347,0.0218571394408972,0.0240033957481407,53453,81944.4134099115,63000
4405,177038,81972,3297,67782,18106,541,5340,0.463019238807488,0.0186231204600142,0.382866955116981,0.102271828646957,0.00305584111885584,0.0301630158497046,0.0332188569685604,65677,102713.520867275,80100
4406,123341,50989,4542,23454,36482,193,7681,0.413398626571862,0.0368247379216968,0.190155747075182,0.295781613575372,0.00156476759552785,0.0622745072603595,0.0638392748558873,53573,119601.357997499,91300
4407,248817,55599,4384,45550,135460,1336,6488,0.223453381400789,0.0176193748819413,0.183066269587689,0.544416177351226,0.00536940803883979,0.0260753887395154,0.0314447967783552,94645,94110.7691267367,65000
4408,151261,43496,18054,30456,47476,886,10893,0.287555946344398,0.11935660877556,0.201347340028163,0.313868082321286,0.00585742524510614,0.0720145972854867,0.0778720225305928,56247,98465.7910644123,78800
4409,146308,24368,8596,59959,38367,148,14870,0.166552751729229,0.0587527681329797,0.409813544030402,0.262234464280832,0.0010115646444487,0.101634907182109,0.102646471826558,46765,104963.470629744,79400
4410,135928,26536,16994,35544,30957,1787,24110,0.195220999352598,0.125022070507916,0.261491377788241,0.227745571184745,0.0131466658819375,0.177373315284562,0.1905199811665,41693,110348.544599813,86300
4411,120163,42021,2792,16957,54364,286,3743,0.349699990845768,0.0232351056481612,0.141116649883908,0.452418797799656,0.00238010036367268,0.0311493554588351,0.0335294558225078,45163,118911.970595399,92800
