citycouncildistrict,total_bldgs,med_yearbuilt,mean_yearbuilt,year
28,30564,1925,1934.68563555769,2009
20,20736,1949,1948.26135125318,2009
23,37996,1945,1943.66152027776,2009
27,41080,1932,1938.23703479577,2009
31,32337,1950,1949.94542391475,2009
51,47510,1980,1975.24114194111,2009
49,41990,1940,1948.74673274921,2009
17,8589,1931,1947.22162755592,2010
8,4311,1910,1927.11651021535,2010
13,29651,1940,1943.3499177111,2010
18,12334,1930,1943.10087173101,2010
12,19962,1945,1946.05726948314,2010
16,4989,1927,1941.41114000867,2010
14,3933,1920,1929.25599774203,2010
0,237,1955,1952.36363636364,2010
11,12874,1930,1935.57910586055,2010
15,7576,1925,1934.95304399348,2010
22,18159,1930,1936.99836772003,2010
10,2084,1920,1923.00478214665,2010
38,17444,1920,1922.64358533033,2010
39,19086,1915,1918.3079297246,2010
33,16739,1914,1919.32193578784,2010
35,12979,1915,1922.02830016432,2010
43,31138,1925,1927.41123421799,2010
50,44665,1965,1964.11478279319,2010
44,22627,1930,1932.83358471594,2010
36,15126,1905,1918.9627028166,2010
47,19277,1930,1939.92591404747,2010
48,20618,1928,1932.42730681748,2010
46,38285,1940,1944.33348262271,2010
41,15282,1925,1932.44255383225,2010
42,18036,1950,1951.19312623086,2010
40,10526,1920,1921.66685571688,2010
37,20100,1915,1926.0545108574,2010
34,16142,1930,1932.78499119718,2010
45,24386,1930,1929.91810786057,2010
1,5687,1910,1920.02149178255,2010
6,3938,1910,1914.39966508512,2010
3,9656,1913,1920.34140672783,2010
4,4544,1920,1922.67221017113,2010
2,4785,1910,1918.6264214856,2010
9,5502,1910,1920.25451960187,2010
5,3484,1915,1924.08878205128,2010
7,3466,1920,1919.29658037712,2010
26,16487,1931,1937.41225212465,2010
25,12082,1940,1944.31634625165,2010
21,17700,1930,1939.96190609084,2010
30,38032,1930,1932.18392791834,2010
32,38051,1930,1936.22804232804,2010
24,24442,1940,1943.99806828861,2010
29,17790,1935,1936.7665591324,2010
19,44525,1945,1946.61922230374,2010
28,30595,1925,1934.87248883929,2010
20,20729,1950,1948.42627118644,2010
23,38036,1945,1943.72096029547,2010
27,41152,1932,1938.40521928235,2010
31,32416,1950,1950.15611319575,2010
51,48183,1980,1975.39870740306,2010
49,44484,1940,1948.86451118512,2010
15,7670,1925,1935.09718518519,2011
16,5062,1927,1941.35986083931,2011
14,4084,1921,1929.53800675676,2011
18,12332,1930,1943.20649363088,2011
13,29704,1940,1943.40755114955,2011
8,4336,1910,1926.86781449597,2011
17,8736,1931,1947.19344171948,2011
11,12928,1930,1935.66593330246,2011
0,220,1946,1948.46511627907,2011
22,18158,1930,1937.01366191659,2011
12,19995,1945,1946.08373674504,2011
10,2084,1920,1923.02550478215,2011
38,17376,1920,1922.48602536015,2011
39,19018,1915,1918.16705322629,2011
33,16744,1913,1919.22973701956,2011
35,12963,1915,1921.89159494598,2011
43,31022,1925,1927.42846094354,2011
44,22586,1930,1932.85337883195,2011
50,44735,1965,1964.21138857961,2011
47,19245,1930,1939.97328538402,2011
36,15097,1905,1918.91231277688,2011
37,20062,1915,1925.89968599305,2011
41,15277,1925,1932.43409159386,2011
34,15963,1930,1932.77757379938,2011
40,10537,1920,1921.62768252526,2011
42,18031,1950,1951.22206686157,2011
45,24390,1930,1929.95484913793,2011
46,38298,1940,1944.34338518496,2011
48,20620,1928,1932.44754340599,2011
1,5656,1910,1919.67944103324,2011
3,9517,1913,1920.11609011449,2011
2,4766,1910,1918.39427045399,2011
6,3894,1910,1914.33025984912,2011
4,4527,1920,1922.58176100629,2011
9,5494,1910,1920.1845903639,2011
7,3447,1920,1919.23012552301,2011
5,3484,1915,1924.133247918,2011
26,16461,1931,1937.44044242768,2011
25,12091,1940,1944.42304953718,2011
21,17673,1930,1939.98916614245,2011
30,37967,1930,1932.23160799176,2011
32,38039,1930,1936.26248941575,2011
24,24419,1940,1944.00120223721,2011
29,17776,1935,1936.74543206484,2011
19,44615,1945,1946.6638566603,2011
28,30597,1925,1934.94567123724,2011
20,20709,1950,1948.49215674399,2011
23,38423,1945,1943.760005913,2011
27,41141,1932,1938.43223078085,2011
31,32390,1950,1950.24965824317,2011
49,44425,1940,1948.94630595585,2011
51,48111,1980,1975.4409767103,2011
15,7684,1925,1935.19745034094,2012
16,5048,1927,1941.61223601132,2012
17,8715,1931,1947.44741900055,2012
14,4088,1921,1929.64132882883,2012
18,12890,1930,1943.36266258608,2012
13,29787,1940,1943.50834246229,2012
8,4302,1910,1927.07408435072,2012
11,13086,1930,1935.82257691418,2012
0,199,1955,1953.35,2012
22,18127,1930,1937.1866144303,2012
12,20020,1946,1946.33371678362,2012
10,2084,1920,1923.03774587985,2012
38,17384,1920,1922.55727369259,2012
39,19014,1915,1918.29038198776,2012
33,16751,1913,1919.42439550077,2012
35,12907,1915,1921.97048579285,2012
43,31017,1925,1927.44565310861,2012
50,44847,1965,1964.38918876012,2012
47,19236,1930,1940.08191872428,2012
44,22584,1930,1932.96204583566,2012
36,15104,1905,1918.91510761007,2012
41,15290,1925,1932.47143503165,2012
37,20053,1915,1925.958489931,2012
34,15860,1930,1932.93378358538,2012
40,10534,1920,1921.65338328792,2012
42,18058,1950,1951.33394658377,2012
45,24400,1930,1930.05011303693,2012
48,20638,1928,1932.57040044289,2012
46,38322,1940,1944.37188404932,2012
1,5651,1910,1919.83193100547,2012
3,9474,1913,1920.25110946746,2012
2,4761,1910,1918.56914893617,2012
6,3888,1910,1914.42067039106,2012
4,4532,1920,1922.73145904023,2012
9,5475,1910,1920.26768292683,2012
7,3439,1920,1919.31388978408,2012
5,3477,1915,1924.08001285347,2012
26,16611,1931,1937.68634267471,2012
25,12092,1940,1944.66852735208,2012
21,17730,1930,1940.45716868308,2012
30,37993,1930,1932.29355878152,2012
32,38023,1930,1936.30879966128,2012
24,24688,1940,1944.11230729031,2012
29,17793,1935,1936.90667032666,2012
19,44803,1945,1946.80229588092,2012
28,30595,1925,1935.04555055195,2012
20,20711,1950,1948.7520271088,2012
23,39633,1945,1943.84053634752,2012
27,41252,1933,1938.48140096618,2012
31,32490,1950,1950.32520801594,2012
